Nr;Datum;Zeit;Heim;Gast;Tore;Punkte
247;18.03.15;20:15;SG BBM Bietigheim;MT Melsungen;23:35;0:2
245;18.03.15;20:15;TuS N-Luebbecke;THW Kiel;24:31;0:2
255;21.03.15;19:00;TSV Hannover-Burgdorf;HC Erlangen;35:33;2:0
256;21.03.15;19:00;TuS N-Luebbecke;TSG Lu-Friesenheim;24:26;0:2
257;21.03.15;19:00;HSG Wetzlar;SC Magdeburg;31:31;1:1
258;21.03.15;19:00;VfL Gummersbach;TSV GWD Minden;27:32;0:2
270;22.03.15;17:15;FRISCH AUF! Goeppingen;HBW Balingen-Weilstetten;32:28;2:0
253;25.03.15;19:00;HSV Handball;SG BBM Bietigheim;28:23;2:0
254;25.03.15;19:00;MT Melsungen;Fuechse Berlin;31:24;2:0
259;25.03.15;20:15;TBV Lemgo;Rhein-Neckar Loewen;28:39;0:2
252;25.03.15;20:15;SG Flensburg-Handewitt;FRISCH AUF! Goeppingen;34:26;2:0
267;27.03.15;19:45;TSV GWD Minden;TSV Hannover-Burgdorf;31:22;2:0
261;28.03.15;15:45;Rhein-Neckar Loewen;VfL Gummersbach;29:24;2:0
268;28.03.15;19:00;TSG Lu-Friesenheim;MT Melsungen;29:35;0:2
264;28.03.15;19:00;Bergischer HC;SG Flensburg-Handewitt;36:31;2:0
265;28.03.15;20:15;FRISCH AUF! Goeppingen;TBV Lemgo;28:27;2:0
269;29.03.15;15:00;HC Erlangen;THW Kiel;22:36;0:2
263;29.03.15;17:15;SC Magdeburg;TuS N-Luebbecke;26:32;0:2
266;29.03.15;17:15;SG BBM Bietigheim;HSG Wetzlar;28:25;2:0
262;01.04.15;19:00;Fuechse Berlin;HSV Handball;28:25;2:0
251;01.04.15;20:15;THW Kiel;Bergischer HC;32:17;2:0
280;01.04.15;20:45;HBW Balingen-Weilstetten;SG Flensburg-Handewitt;20:20;1:1
275;02.04.15;19:00;TSV Hannover-Burgdorf;VfL Gummersbach;26:26;1:1
276;04.04.15;19:00;TuS N-Luebbecke;SG BBM Bietigheim;32:24;2:0
277;04.04.15;19:00;HSG Wetzlar;HC Erlangen;28:26;2:0
278;04.04.15;19:00;TBV Lemgo;Bergischer HC;34:26;2:0
279;04.04.15;19:00;TSG Lu-Friesenheim;Fuechse Berlin;26:31;0:2
272;05.04.15;15:00;SG Flensburg-Handewitt;TSV GWD Minden;27:24;2:0
273;05.04.15;17:15;HSV Handball;FRISCH AUF! Goeppingen;30:29;2:0
271;05.04.15;17:15;THW Kiel;Rhein-Neckar Loewen;23:23;1:1
281;07.04.15;19:00;Rhein-Neckar Loewen;MT Melsungen;32:26;2:0
282;08.04.15;19:00;Fuechse Berlin;TuS N-Luebbecke;30:30;1:1
250;08.04.15;19:00;TSV GWD Minden;HBW Balingen-Weilstetten;31:24;2:0
283;08.04.15;20:15;SC Magdeburg;THW Kiel;26:32;0:2
284;11.04.15;19:00;Bergischer HC;HSG Wetzlar;28:28;1:1
286;11.04.15;20:15;FRISCH AUF! Goeppingen;TSV Hannover-Burgdorf;25:22;2:0
287;11.04.15;20:15;SG BBM Bietigheim;TSG Lu-Friesenheim;24:26;0:2
285;12.04.15;17:15;VfL Gummersbach;SG Flensburg-Handewitt;24:32;0:2
288;12.04.15;17:15;TSV GWD Minden;TBV Lemgo;23:30;0:2
289;15.04.15;19:00;HC Erlangen;HSV Handball;34:31;2:0
274;15.04.15;20:15;MT Melsungen;SC Magdeburg;26:28;0:2
300;15.04.15;20:15;HBW Balingen-Weilstetten;TSG Lu-Friesenheim;33:30;2:0
297;17.04.15;19:45;HSG Wetzlar;Rhein-Neckar Loewen;31:27;2:0
296;18.04.15;19:00;TuS N-Luebbecke;Bergischer HC;34:31;2:0
298;18.04.15;19:00;TSG Lu-Friesenheim;SC Magdeburg;24:32;0:2
299;19.04.15;15:00;TBV Lemgo;VfL Gummersbach;26:28;0:2
295;19.04.15;17:15;TSV Hannover-Burgdorf;SG Flensburg-Handewitt;25:25;1:1
293;21.04.15;19:00;Fuechse Berlin;SG BBM Bietigheim;33:32;2:0
